2025-09-20 21:21:54 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.006s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 21:22:07 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 0.008s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:27:58 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.004s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:34:09 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.011s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:34:38 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.010s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:36:27 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.009s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:37:26 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 9.103s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:38:52 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.014s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:38:53 - api_requests - INFO - log_api_request:158 - API Request - GET /favicon.ico | Status: 404 | Response Time: 0.002s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:39:13 - api_requests - INFO - log_api_request:158 - API Request - GET /plan | Status: 405 | Response Time: 0.002s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:40:06 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.008s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:40:06 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.006s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:47:23 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.008s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:47:54 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 12.069s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:53:06 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.009s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:53:27 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 9.690s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 22:53:28 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.015s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:53:28 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.013s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 22:53:55 - api_requests - INFO - log_api_request:158 - API Request - GET /plans/3 | Status: 200 | Response Time: 0.007s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
